 ,Song Name,Genre,Genre ID,Mood/Category,Mood/Category ID,Tags,Epidemic Genre (if applicable),Epidemic Mood (If applicable)
0b7c952d-742a-4705-8ea0-0be5f90ce495,Origami,Electronic/Synth,4,"Upbeat, Chill","13, 1",#percussion #house #perc #rhythmic #chillparty,Electronica & Dance:Deep House,"Dreamy,Hopeful"
b475542d-d3f3-432b-b37c-a7d2e3646351,Columbus Circle,Electronic/Synth,4,"Chill, Groovy","1, 7",#dreamy #runway #house #trippy,Electronica & Dance:Deep House,"Epic,Chasing"
15ebd3d2-c1f1-4592-bf63-13d97804d759,Moonrise,Ambient,2,"Dreamy, Slow","3, 11",#dramatic #moving #touching,"Film:Mystery,Nostalgia","Floating,Peaceful"
e23f9615-58d4-4cf6-a2b2-01079117be22,Drummy Dubby Steps 2,Electronic/Synth,4,Weird/Eccentric,14,#techno #drums #adventure,Electronica & Dance:Beats,Mysterious
9c4fcdec-afdf-4081-9ca8-d7df5d0caf63,Outside Circle,"Hip-Hop, Electronic/Synth","6, 4",Chill,1,#trap #smooth #driving,"Hip Hop:Alternative Hip Hop,Trap","Dark,Dreamy"
56d1bb66-f6a0-4cf7-8da3-54ecc07d897d,Pursuit,"Hip-Hop, Electronic/Synth","6, 4",Dark,2,#trap #chill #hard #fire,"Hip Hop:Mainstream Hip Hop,Alternative Hip Hop","Dark,Dreamy"
a98bdfdc-95f2-49eb-9b12-6fd8ecc62878,Hellish,"Hip-Hop, Electronic/Synth","6, 4",Dark,2,#trap #chill #hard #fire,Hip Hop:Mainstream Hip Hop,"Dark,Mysterious"
06d7d368-5b4a-4647-b738-6c6728a53dd8,Days Inn,"Hip-Hop, Electronic/Synth","6, 4",Dark,2,#trap #hard #fire,"Hip Hop:Mainstream Hip Hop,Trap",Heavy & Ponderous
1fb741d7-1fe0-4990-8b01-d33b4ec0293e,Sunday,"Pop, Electronic/Synth","9, 4",Happy,8,#upbeat #vlog,Hip Hop:Mainstream Hip Hop,"Dreamy,Laid Back"
eb123258-b5f3-49a2-9424-8e3449aeaf19,For the Record (Dylan Sitts Remix) (Instrumental Version),"Hip-Hop, Electronic/Synth","6, 4","Dark, Suspense","2, 12",#trap,Hip Hop:Mainstream Hip Hop,"Dark,Epic"
48e8853e-79ea-46de-b21f-155319eb92c1,Chasing A Dream,R&B,6,"Slow, Chill","11, 1",#dreamy #vocals #dark #synth ,Electronica & Dance:Beats,"Dark,Dreamy"
8dbd4dda-cbf1-40ca-a0dc-56bf7a384b7b,ITEYBC,Ambient,2,"Chill, Slow, Melancholy","1, 11, 9",#vocals #trap #sadboi #sadboymusic,Electronica & Dance:Beats,"Dreamy,Laid Back"
77f1d31a-a331-4b29-ace9-83d8ee21a62c,Feel Something,Pop ,9,"Dreamy, Chill","3, 1",#club #upbeat #dance,Electronica & Dance:Beats,"Romantic,Happy"
4fd0a72f-e265-4e1a-a55d-29ada807092b,Speeding Through The Night,Electronic/Synth,4,Dreamy,3,#cruising #strangerthings #retro #80s,Electronica & Dance:Electro,"Sentimental,Dreamy"
dada6070-f34a-4c6f-949a-a6a2c3d082a2,Moving Strong,"Electronic/Synth, Pop",4,Epic,5,#marathon #actionsports #action #buildup,"Pop,Rnb & Soul:RnB,Synth Pop","Sexy,Laid Back"
e997ee3c-09b1-4a79-bdab-54b63c75c860,Zero,"Hip-Hop, R&B",6,"Chill, Slow ","1, 11",#lo-fi #coffeehouse #piano,Hip Hop:Alternative Hip Hop,"Smooth,Laid Back"
